Date,Open,High,Low,Close,Adj Close,Volume
2014-06-13,8154.279785,8174.779785,8138.350098,8170.759766,8170.759766,0
2014-06-16,8170.450195,8185.279785,8147.009766,8173.390137,8173.390137,0
2014-06-17,8166.140137,8194.269531,8154.470215,8189.669922,8189.669922,0
2014-06-18,8192.209961,8261.280273,8182.069824,8259.259766,8259.259766,0
2014-06-19,8260.719727,8271.690430,8244.410156,8271.690430,8271.690430,0
2014-06-20,8287.469727,8291.690430,8277.309570,8282.740234,8282.740234,0
2014-06-23,8284.589844,8286.250000,8264.509766,8285.400391,8285.400391,0
2014-06-24,8272.280273,8294.339844,8214.940430,8219.629883,8219.629883,0
2014-06-25,8206.450195,8261.179688,8206.160156,8256.620117,8256.620117,0
2014-06-26,8250.379883,8250.379883,8192.639648,8243.200195,8243.200195,0
2014-06-27,8231.570313,8251.700195,8211.530273,8248.860352,8248.860352,0
2014-06-30,8248.330078,8257.830078,8227.389648,8237.160156,8237.160156,0
2014-07-01,8248.879883,8306.580078,8248.879883,8284.139648,8284.139648,0
2014-07-02,8282.030273,8309.000000,8281.299805,8298.959961,8298.959961,0
2014-07-03,8322.089844,8346.150391,8320.139648,8342.780273,8342.780273,0
2014-07-07,8322.129883,8324.709961,8298.330078,8311.990234,8311.990234,0
2014-07-08,8288.570313,8288.570313,8249.129883,8260.980469,8260.980469,0
2014-07-09,8279.849609,8296.679688,8265.910156,8290.660156,8290.660156,0
2014-07-10,8246.730469,8273.299805,8212.580078,8256.019531,8256.019531,0
2014-07-11,8249.570313,8261.360352,8226.969727,8256.280273,8256.280273,0
2014-07-14,8293.589844,8309.799805,8293.589844,8299.160156,8299.160156,0
2014-07-15,8310.320313,8324.240234,8269.169922,8295.519531,8295.519531,0
2014-07-16,8325.599609,8337.040039,8306.519531,8333.860352,8333.860352,0
2014-07-17,8308.429688,8336.809570,8236.790039,8243.919922,8243.919922,0
2014-07-18,8259.610352,8318.040039,8257.330078,8309.290039,8309.290039,0
2014-07-21,8284.139648,8298.240234,8257.870117,8290.219727,8290.219727,0
2014-07-22,8312.129883,8338.070313,8308.469727,8324.179688,8324.179688,0
2014-07-23,8333.500000,8338.530273,8317.530273,8326.889648,8326.889648,0
2014-07-24,8332.959961,8346.669922,8324.339844,8333.389648,8333.389648,0
2014-07-25,8333.389648,8333.389648,8283.000000,8294.929688,8294.929688,0
2014-07-28,8289.000000,8304.070313,8250.179688,8294.139648,8294.139648,0
2014-07-29,8309.750000,8322.129883,8256.200195,8256.200195,8256.200195,0
2014-07-30,8273.200195,8291.500000,8216.730469,8251.030273,8251.030273,0
2014-07-31,8195.200195,8199.360352,8083.959961,8083.959961,8083.959961,0
2014-08-01,8060.459961,8106.649902,8023.890137,8054.080078,8054.080078,0
